seconds,signal1,signal2
0.0,1219.21730468,7.2324282516
1.0,1184.5695849,7.11820350466
2.0,1143.04637515,6.99653045796
3.0,1096.33208248,6.8740721849
4.0,1046.71584478,6.75807887492
5.0,1042.56175236,6.75817459464
6.0,904.273847193,6.47185632222
7.0,954.293599633,6.62119003772
8.0,830.268758683,6.3918997949
9.0,899.642786877,6.6051232398
10.0,799.035080296,6.44277960504
11.0,894.541918606,6.72192494649
12.0,821.21327444,6.62041509932
13.0,760.912152142,6.54225232078
14.0,894.687154826,6.89003285474
15.0,1037.75897936,7.24679842651
16.0,1004.77837507,7.19516603398
17.0,975.125306599,7.13648689124
18.0,1128.01601379,7.47278323811
19.0,1277.62143812,7.78863375736
20.0,1420.95449743,8.07948481183
21.0,1372.96136081,7.93333154393
22.0,1679.46017274,8.57737973395
23.0,1609.15366808,8.37571698695
24.0,1526.90121192,8.15009941338
25.0,1433.27785161,7.90524618089
26.0,1329.62103359,7.64704540677
27.0,1583.02133471,8.20067497685
28.0,1465.71770723,7.93564817764
29.0,1345.55518096,7.67690340229
30.0,1590.43578387,8.2484780207
31.0,1472.76643034,8.01725220969
32.0,1359.90774369,7.8042433307
33.0,1253.55520965,7.60997570637
34.0,1154.71161136,7.43302091772
35.0,1428.71254866,8.08868726069
36.0,1344.76289607,7.93482590938
37.0,1266.63159647,7.78381645564
38.0,1557.41788703,8.44720527144
39.0,1484.3692334,8.28041073702
40.0,1409.7273989,8.09490438315
41.0,1695.61418065,8.70293206978
42.0,1243.81848242,7.64357770451
43.0,1512.22314552,8.18781814439
44.0,1768.57696838,8.6969335557
45.0,1281.3142147,7.53427984987
46.0,1510.32533601,7.97691215341
47.0,995.476539202,6.75495399236
48.0,1198.35892726,7.14898804628
49.0,1390.68568088,7.52917272256
50.0,844.827057099,6.26637907223
51.0,1024.29826047,6.64327867659
52.0,472.018724665,5.39331673981
53.0,651.842769551,5.79787545933
54.0,836.796241521,6.22534863859
55.0,299.520759916,5.04242503492
56.0,502.747300353,5.5255000823
57.0,717.838058306,6.03733666653
58.0,215.356052216,4.9387704964
59.0,455.69427571,5.50055894206
60.0,707.791787789,6.08046156224
61.0,239.883265822,5.03531670542
62.0,510.300476048,5.63318550561
63.0,56.1208692733,4.59341901883
64.0,335.134334274,5.1848723019
65.0,614.530328409,5.76590837457
66.0,161.773566474,4.69642056987
67.0,435.457983974,5.24973807588
68.0,-26.0696911212,4.15228815248
69.0,237.156156601,4.68126892419
70.0,495.238365991,5.20401591923
71.0,19.0683154695,4.08933823388
72.0,270.916621735,4.61874013088
73.0,522.99352806,5.16266298572
74.0,47.9371375156,4.09157437125
75.0,309.267425503,4.6870490908
76.0,579.846519261,5.31798760457
77.0,132.310869914,4.35180049539
78.0,429.517457026,5.06569682646
79.0,12.825745664,4.18599600255
80.0,343.713800533,4.98574339683
81.0,692.156977304,5.82431754928
82.0,1057.47985327,6.69649795785
83.0,-22.2658014954,4.32118643901
84.0,371.54948931,5.23954638627
85.0,775.647674678,6.16899849121
86.0,1186.78719215,7.10145745854
87.0,1601.54043961,8.02945171061
88.0,2016.5215374,8.94661318418
89.0,968.17003733,6.57365891428
90.0,1374.70698063,7.45636182419
91.0,1773.66667942,8.31917258385
92.0,2163.76804666,9.16290501087
93.0,2544.53515768,9.99016810144
94.0,1455.856803,7.53066183119
95.0,1819.67932596,8.33846399237
96.0,2177.25569521,9.14502078106
97.0,2530.73565209,9.95630053859
98.0,2882.5275113,10.7778332607
99.0,1774.64060004,8.339782206
100.0,2130.2187595,9.19419155998
101.0,2490.6996961,10.0681258195
102.0,2857.39169005,10.961149294
103.0,3230.89924198,11.8708441883
104.0,2150.60190595,9.51847809499
105.0,2536.38660748,10.4469206359
106.0,2926.05347214,11.374475257
107.0,3317.16836778,12.2930231599
108.0,3706.77325244,13.1941284787
109.0,4091.57621523,14.069593047
110.0,3007.72971137,11.637577735
111.0,3372.81381916,12.4407774431
112.0,3723.42586722,13.2002964378
113.0,4057.13593045,13.9136176054
114.0,4372.2115709,14.5803274926
115.0,3207.29376432,11.9276923102
116.0,3483.2095561,12.5081910903
117.0,3740.33536416,13.0527000813
118.0,3980.28712569,13.5677729939
119.0,4205.36025388,14.0607298503
120.0,4418.36116672,14.5391177312
121.0,3161.96529199,11.7357410894
122.0,3360.24934978,12.2058291721
123.0,3555.8325099,12.6800614911
124.0,3751.41898147,13.161907464
125.0,3949.17582995,13.6529883042
126.0,2690.15348654,10.8785827782
127.0,2895.95323084,11.385387741
128.0,3106.06612723,11.895210185
129.0,3319.66121733,12.4029972868
130.0,3535.23846546,12.9028611252
131.0,2290.33343825,10.1141703478
132.0,2503.45684951,10.5797760659
133.0,2711.67320403,11.0200140382
134.0,2912.57850149,11.4308664763
135.0,3104.07838471,11.8099302409
136.0,1824.14437652,8.88226777722
137.0,1992.7274686,9.19822582159
138.0,2149.23518351,9.48689405154
139.0,2294.33957495,9.7536272554
140.0,2429.53011409,10.0053251781
141.0,2557.04459063,10.2500185636
142.0,1219.30532503,7.22194921337
143.0,1340.50247877,7.47870740982
