location,month,pLocalTransmissionAve,pLocalTransmissionMin,pLocalTransmissionMax,localcases
Nassau,12/01/2013 12:00:00 AM,0.01,0,0.02,0
Atlantic City,12/01/2013 12:00:00 AM,0,0,0,0
Buenos Aires,12/01/2013 12:00:00 AM,0,0,0.01,0
Antigua,12/01/2013 12:00:00 AM,0.09,0.01,0.23,0
Atlanta,12/01/2013 12:00:00 AM,0,0,0,0
Aruba,12/01/2013 12:00:00 AM,0.05,0,0.13,0
Austin,12/01/2013 12:00:00 AM,0,0,0,0
Anguilla,12/01/2013 12:00:00 AM,0.06,0,0.15,0
Phoenix,12/01/2013 12:00:00 AM,0,0,0,0
Barranquilla,12/01/2013 12:00:00 AM,0,0,0,0
Hartford,12/01/2013 12:00:00 AM,0,0,0,0
Belem,12/01/2013 12:00:00 AM,0,0,0,0
Barbados,12/01/2013 12:00:00 AM,0.05,0,0.13,0
"Birmingham, US",12/01/2013 12:00:00 AM,0,0,0,0
Nashville,12/01/2013 12:00:00 AM,0,0,0,0
Bogota,12/01/2013 12:00:00 AM,0,0,0.01,0
Boston,12/01/2013 12:00:00 AM,0,0,0,0
Buffalo,12/01/2013 12:00:00 AM,0,0,0,0
Baltimore,12/01/2013 12:00:00 AM,0,0,0,0
Belize,12/01/2013 12:00:00 AM,0,0,0,0
Akron,12/01/2013 12:00:00 AM,0,0,0,0
Haiti,12/01/2013 12:00:00 AM,0.07,0,0.18,0
Cayenne,12/01/2013 12:00:00 AM,0.01,0,0.02,0
Caracas,12/01/2013 12:00:00 AM,0.02,0,0.06,0
Sao Paulo,12/01/2013 12:00:00 AM,0,0,0.02,0
"Charleston, SC, US",12/01/2013 12:00:00 AM,0,0,0,0
St. Vincent & Grenadines,12/01/2013 12:00:00 AM,0.01,0,0.02,0
Cleveland,12/01/2013 12:00:00 AM,0,0,0,0
Cali,12/01/2013 12:00:00 AM,0,0,0.01,0
Charlotte,12/01/2013 12:00:00 AM,0,0,0,0
"Columbus, OH, US",12/01/2013 12:00:00 AM,0,0,0,0
Belo Horizonte,12/01/2013 12:00:00 AM,0,0,0,0
"Cordoba, AR",12/01/2013 12:00:00 AM,0,0,0,0
Cartagena,12/01/2013 12:00:00 AM,0,0,0,0
Cumana,12/01/2013 12:00:00 AM,0,0,0,0
Cancun,12/01/2013 12:00:00 AM,0,0,0.01,0
Curacao,12/01/2013 12:00:00 AM,0.2,0.02,0.45,0
Cincinnati,12/01/2013 12:00:00 AM,0,0,0,0
Cayman Islands,12/01/2013 12:00:00 AM,0,0,0.01,0
Cuba,12/01/2013 12:00:00 AM,0.01,0,0.03,0
Dallas,12/01/2013 12:00:00 AM,0,0,0,0
Dayton,12/01/2013 12:00:00 AM,0,0,0,0
Washington DC,12/01/2013 12:00:00 AM,0,0,0,0
Denver,12/01/2013 12:00:00 AM,0,0,0,0
Des Moines,12/01/2013 12:00:00 AM,0,0,0,0
Detroit,12/01/2013 12:00:00 AM,0,0,0,0
El Paso,12/01/2013 12:00:00 AM,0,0,0,0
New York,12/01/2013 12:00:00 AM,0,0,0,0
Martinique,12/01/2013 12:00:00 AM,1,1,1,1
Fort Lauderdale,12/01/2013 12:00:00 AM,0.03,0,0.12,0
Fortaleza,12/01/2013 12:00:00 AM,0,0,0,0
