x,y
0.0,14.6902187286
1.0,14.712705248
2.0,14.7356470937
3.0,14.7590442659
4.0,14.7828967645
5.0,14.8072045895
6.0,14.831967741
7.0,14.8571862188
8.0,14.8828600231
9.0,14.9089891538
10.0,14.935573611
11.0,14.9626133945
12.0,14.9901085045
13.0,15.0180589409
14.0,15.0464647038
15.0,15.075325793
16.0,15.1046422087
17.0,15.1344139508
18.0,15.1646410194
19.0,15.1953234143
20.0,15.2264611357
21.0,15.2580541835
22.0,15.2901025577
23.0,15.3226062584
24.0,15.3555652854
25.0,15.3889796389
26.0,15.4228493188
27.0,15.4571743252
28.0,15.4919546579
29.0,15.5271903171
30.0,15.5628813027
31.0,15.5990276148
32.0,15.6356292532
33.0,15.6726862181
34.0,15.7101985094
35.0,15.7481661272
36.0,15.7865890713
37.0,15.8254673419
38.0,15.8648009389
39.0,15.9045898623
40.0,15.9448341122
41.0,15.9855336884
42.0,16.0266885911
43.0,16.0682988202
44.0,16.1103643758
45.0,16.1528852577
46.0,16.1958614661
47.0,16.2392930009
48.0,16.2831798622
49.0,16.3275220498
50.0,16.3723195639
51.0,16.4175724044
52.0,16.4632805714
53.0,16.5094440647
54.0,16.5560628845
