seconds,signal1,signal2
0.0,380.047790527,5.3113360405
1.0,453.769195557,5.67216682434
2.0,306.376586914,5.21603679657
3.0,419.645904541,5.65967416763
4.0,380.650695801,5.57794094086
5.0,402.391998291,5.6040520668
6.0,447.605712891,5.79300785065
7.0,387.2421875,5.30604982376
8.0,463.6512146,5.58462905884
9.0,439.725708008,5.52322816849
10.0,498.18170166,5.72411584854
11.0,526.816223145,5.93419885635
12.0,710.587280273,6.54741382599
13.0,655.194274902,6.1997461319
14.0,754.762512207,6.50538301468
15.0,790.173278809,6.63411617279
16.0,742.985290527,6.37891292572
17.0,748.229614258,6.44665288925
18.0,736.647827148,6.41508293152
19.0,787.24621582,6.43753099442
20.0,722.864074707,6.22002410889
21.0,935.03338623,6.89802598953
22.0,1220.60900879,7.6097111702
23.0,1053.77197266,7.28835582733
24.0,1493.8079834,7.94310188293
25.0,1724.48803711,8.37616157532
26.0,1636.93505859,8.23695755005
27.0,1385.48803711,7.87959098816
28.0,1098.93200684,7.10137605667
29.0,1021.45800781,6.95530700684
30.0,1164.89294434,7.09829807281
31.0,1073.33203125,6.95363092422
32.0,1165.3079834,7.24957799911
33.0,1177.98999023,7.29469108582
34.0,1170.53601074,7.37636995316
35.0,1145.53601074,7.448554039
36.0,1114.02697754,7.23925209045
37.0,1153.18505859,7.32921123505
38.0,1125.33105469,7.13970518112
39.0,1228.73205566,7.47422885895
40.0,1021.79302979,7.03317403793
41.0,957.378173828,6.88645505905
42.0,909.887817383,6.88782119751
43.0,1000.95397949,7.21643209457
44.0,1024.47802734,7.06859779358
45.0,1009.53399658,6.93829584122
46.0,899.492980957,6.53668785095
47.0,725.110107422,6.18062496185
48.0,585.259399414,5.8168258667
49.0,443.913909912,5.45015096664
50.0,565.25378418,5.81814908981
51.0,644.037780762,6.1302728653
52.0,712.058898926,6.34707784653
53.0,737.394775391,6.34743690491
54.0,725.868103027,6.19436883926
55.0,408.997406006,4.97719812393
56.0,628.436828613,5.95911121368
57.0,716.100585938,6.21137619019
58.0,711.495605469,6.11145305634
59.0,838.151916504,6.45632219315
60.0,881.062072754,6.66665792465
61.0,663.703125,6.16287899017
62.0,578.26159668,6.01316785812
63.0,465.62008667,5.56120300293
64.0,311.05090332,4.96073198318
65.0,230.055496216,4.60387516022
66.0,233.990600586,4.55453395844
67.0,175.592193604,4.26362895966
68.0,118.133102417,3.89413905144
69.0,142.20249939,4.03876113892
70.0,212.566192627,4.50565099716
71.0,222.61000061,4.54339790344
72.0,194.18119812,4.32376098633
73.0,82.6407470703,3.6344370842
74.0,75.8952178955,3.70551204681
75.0,41.9472389221,3.25396800041
76.0,118.534599304,3.77513694763
77.0,250.755905151,4.69350099564
78.0,346.8644104,5.00293922424
79.0,416.417907715,5.36474990845
80.0,331.941497803,5.0161819458
81.0,583.479919434,5.9704079628
82.0,776.55267334,6.65552091599
83.0,752.726379395,6.60090398788
84.0,589.073120117,5.98137807846
85.0,1109.12805176,7.42459392548
86.0,1482.45996094,8.18645191193
87.0,1523.43005371,8.27493000031
88.0,1572.17004395,8.44920253754
89.0,1698.93994141,8.57597446442
90.0,1616.84594727,8.2822599411
91.0,1796.82397461,8.73455238342
92.0,1885.86096191,8.76410388947
93.0,2327.51196289,9.6694316864
94.0,2499.16210938,10.1410903931
95.0,2820.51293945,10.7724199295
96.0,2812.27905273,10.6475200653
97.0,2530.44702148,9.98266124725
98.0,2399.12109375,9.87438583374
99.0,2335.58789063,9.78547954559
100.0,2341.13305664,9.61423206329
101.0,2391.84790039,9.61850452423
102.0,2118.38989258,9.09868335724
103.0,1866.84594727,8.67742538452
104.0,1865.61901855,8.77489852905
105.0,1862.44799805,8.68998146057
106.0,1884.11901855,8.63107395172
107.0,1855.77697754,8.614569664
108.0,1958.13305664,9.21884346008
109.0,2228.24291992,10.0495195389
110.0,2529.29101563,10.3187103271
111.0,2788.25708008,10.7667598724
112.0,2692.92993164,10.5582504272
113.0,2535.35302734,10.2507200241
114.0,2584.66503906,10.4647703171
115.0,2960.18310547,11.3907804489
116.0,3062.97802734,11.5655403137
117.0,3024.39208984,11.2802495956
118.0,3187.97290039,11.3367795944
119.0,3387.22802734,11.8046398163
120.0,3209.01806641,11.3635396957
121.0,3272.66503906,11.6325902939
122.0,3209.69897461,11.4447603226
123.0,3134.51806641,11.271900177
124.0,2977.82495117,11.059009552
125.0,3431.77294922,12.1037797928
126.0,3604.20996094,12.9281396866
127.0,3601.32788086,13.3194198608
128.0,3604.42602539,13.1215200424
129.0,3604.39111328,13.235449791
130.0,3604.33789062,13.2358999252
131.0,3554.68798828,13.0295600891
132.0,3479.40795898,12.9639396667
133.0,3472.33300781,12.9029502869
134.0,3491.51098633,12.7663402557
135.0,3536.98901367,12.898349762
136.0,3528.65893555,12.7421102524
137.0,3581.54003906,12.3182601929
138.0,3570.07910156,12.4188098907
139.0,3597.60400391,12.5429897308
140.0,3441.02587891,12.6759996414
141.0,3373.9699707,13.0030498505
142.0,3369.81298828,13.2976703644
143.0,3375.90307617,12.8440599442
